 Óbitos infantis - Paraíba
Óbitos p/Residênc por Município e Faixa etária 1
Período:2011
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Total"
"250950 Montadas";-;1;-;1
"250960 Monte Horebe";1;-;-;1
"250970 Monteiro";3;-;1;4
"250980 Mulungu";-;1;-;1
"250990 Natuba";1;-;-;1
"251000 Nazarezinho";-;-;1;1
"251010 Nova Floresta";-;-;1;1
"251030 Nova Palmeira";1;-;-;1
"251060 Ouro Velho";2;-;-;2
"251080 Patos";15;3;6;24
"251090 Paulista";1;1;1;3
"251100 Pedra Branca";1;-;-;1
"251110 Pedra Lavrada";-;-;1;1
"251120 Pedras de Fogo";2;1;2;5
"251272 Pedro Régis";1;-;-;1
"251130 Piancó";-;-;1;1
"251140 Picuí";1;1;1;3
"251150 Pilar";1;1;3;5
"251160 Pilões";-;-;1;1
"251180 Pirpirituba";1;-;-;1
"251190 Pitimbu";1;2;3;6
"251200 Pocinhos";1;-;1;2
"251203 Poço Dantas";-;-;1;1
"251207 Poço de José de Moura";2;-;-;2
"251210 Pombal";7;1;-;8
"251220 Prata";1;1;-;2
"251230 Princesa Isabel";5;2;1;8
"251240 Puxinanã";2;-;2;4
"251250 Queimadas";4;-;3;7
"251270 Remígio";4;-;-;4
"251280 Riacho dos Cavalos";1;-;-;1
"251290 Rio Tinto";1;-;2;3
"251310 Salgado de São Félix";-;1;-;1
"251315 Santa Cecília";2;1;1;4
"251320 Santa Cruz";1;-;-;1
"251340 Santa Luzia";5;-;2;7
"251370 Santa Rita";10;4;9;23
"251385 Santo André";-;1;-;1
"251392 São Bentinho";1;-;-;1
"251390 São Bento";2;1;2;5
"251396 São Domingos";-;-;1;1
"251394 São Domingos do Cariri";1;-;-;1
"250070 São João do Rio do Peixe";3;-;1;4
"251410 São João do Tigre";2;-;3;5
"251420 São José da Lagoa Tapada";1;-;-;1
"251430 São José de Caiana";1;-;1;2
"251440 São José de Espinharas";1;-;-;1
"251450 São José de Piranhas";3;-;1;4
"251460 São José do Bonfim";-;-;1;1
"251470 São José do Sabugi";-;1;-;1
"251480 São José dos Cordeiros";1;-;1;2
"251490 São Mamede";1;-;-;1
"251510 São Sebastião de Lagoa de Roça";1;-;-;1
"251540 São Vicente do Seridó";4;2;1;7
"251530 Sapé";4;3;3;10
"251550 Serra Branca";2;1;-;3
"251570 Serra Grande";4;-;-;4
"251590 Serraria";1;-;-;1
"251593 Sertãozinho";-;1;-;1
"251597 Sobrado";-;-;1;1
"251600 Solânea";1;1;1;3
"251610 Soledade";2;2;1;5
"251615 Sossêgo";1;-;-;1
"251620 Sousa";9;6;5;20
"251630 Sumé";6;1;1;8
"251650 Taperoá";4;1;1;6
"251660 Tavares";4;-;-;4
"251670 Teixeira";3;-;3;6
"251680 Triunfo";1;-;1;2
"251690 Uiraúna";1;2;1;4
"251700 Umbuzeiro";-;4;-;4
"251710 Várzea";1;-;-;1
"251740 Zabelê";2;-;-;2
"250000 Município ignorado - PB";-;-;1;1
"Total";426;169;251;846
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
