 Nascidos vivos - Paraíba
Nascim p/resid.mãe por Município
Período:2013
"Município";"Nascim_p/resid.mãe"
"250670 Imaculada";140
"250680 Ingá";283
"250690 Itabaiana";333
"250700 Itaporanga";339
"250710 Itapororoca";244
"250720 Itatuba";166
"250730 Jacaraú";213
"250740 Jericó";97
"250750 João Pessoa";11549
"251365 Joca Claudino";32
"250760 Juarez Távora";114
"250770 Juazeirinho";300
"250780 Junco do Seridó";112
"250790 Juripiranga";188
"250800 Juru";118
"250810 Lagoa";61
"250820 Lagoa de Dentro";110
"250830 Lagoa Seca";432
"250840 Lastro";45
"250850 Livramento";86
"250855 Logradouro";46
"250860 Lucena";214
"250870 Mãe d'Água";43
"250880 Malta";86
"250890 Mamanguape";711
"250900 Manaíra";169
"250905 Marcação";160
"250910 Mari";277
"250915 Marizópolis";98
"250920 Massaranduba";202
"250930 Mataraca";139
"250933 Matinhas";54
"250937 Mato Grosso";23
"250939 Maturéia";83
"250940 Mogeiro";179
"250950 Montadas";94
"250960 Monte Horebe";67
"250970 Monteiro";491
"250980 Mulungu";137
"250990 Natuba";93
"251000 Nazarezinho";106
"251010 Nova Floresta";147
"251020 Nova Olinda";76
"251030 Nova Palmeira";43
"251040 Olho d'Água";98
"251050 Olivedos";50
"251060 Ouro Velho";39
"251065 Parari";30
"251070 Passagem";41
"251080 Patos";1506
"251090 Paulista";134
"251100 Pedra Branca";37
"251110 Pedra Lavrada";105
"251120 Pedras de Fogo";457
"251272 Pedro Régis";69
"251130 Piancó";201
"251140 Picuí";263
"251150 Pilar";182
"251160 Pilões";140
"251170 Pilõezinhos";77
"251180 Pirpirituba";128
"251190 Pitimbu";292
"251200 Pocinhos";281
"251203 Poço Dantas";63
"251207 Poço de José de Moura";45
"251210 Pombal";449
"251220 Prata";54
"251230 Princesa Isabel";293
"251240 Puxinanã";205
"251250 Queimadas";631
"251260 Quixabá";22
"251270 Remígio";284
"251274 Riachão";54
"251275 Riachão do Bacamarte";64
"251276 Riachão do Poço";62
"251278 Riacho de Santo Antônio";43
"251280 Riacho dos Cavalos";99
"251290 Rio Tinto";328
"251300 Salgadinho";42
"251310 Salgado de São Félix";109
"251315 Santa Cecília";87
"251320 Santa Cruz";67
"251330 Santa Helena";63
"251335 Santa Inês";55
"251340 Santa Luzia";206
"251370 Santa Rita";2231
"251380 Santa Teresinha";44
"251350 Santana de Mangueira";60
"251360 Santana dos Garrotes";73
"251385 Santo André";27
"251392 São Bentinho";53
"251390 São Bento";436
"251396 São Domingos";37
"251394 São Domingos do Cariri";37
"251398 São Francisco";51
"251400 São João do Cariri";51
"250070 São João do Rio do Peixe";187
"251410 São João do Tigre";52
"251420 São José da Lagoa Tapada";87
"251430 São José de Caiana";105
"251440 São José de Espinharas";52
"251450 São José de Piranhas";252
"251455 São José de Princesa";35
"251460 São José do Bonfim";59
"251465 São José do Brejo do Cruz";23
"251470 São José do Sabugi";39
"251480 São José dos Cordeiros";48
"251445 São José dos Ramos";68
"251490 São Mamede";93
"251500 São Miguel de Taipu";90
"251510 São Sebastião de Lagoa de Roça";167
"251520 São Sebastião do Umbuzeiro";44
"251540 São Vicente do Seridó";167
"251530 Sapé";731
"251550 Serra Branca";143
"251560 Serra da Raiz";35
"251570 Serra Grande";30
"251580 Serra Redonda";107
"251590 Serraria";59
"251593 Sertãozinho";72
"251597 Sobrado";97
"251600 Solânea";392
"251610 Soledade";223
"251615 Sossêgo";56
"251620 Sousa";940
"251630 Sumé";226
"251640 Tacima";104
"251650 Taperoá";214
"251660 Tavares";192
"251670 Teixeira";198
"251675 Tenório";42
"251680 Triunfo";108
"251690 Uiraúna";186
"251700 Umbuzeiro";120
"251710 Várzea";35
"251720 Vieirópolis";45
"250550 Vista Serrana";43
"251740 Zabelê";40
"Total";56854
 Fonte: MS/SVS/DASIS - Sistema de Informações sobre Nascidos Vivos - SINASC
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
