"Municipio";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"Total"
"251315 Santa Cecilia";1;-;-;-;1
"251320 Santa Cruz";2;-;-;-;2
"251330 Santa Helena";1;-;-;-;1
"251340 Santa Luzia";-;2;-;-;2
"251370 Santa Rita";10;8;10;-;28
"251350 Santana de Mangueira";1;-;-;-;1
"251360 Santana dos Garrotes";1;-;-;-;1
"251392 Sao Bentinho";1;-;-;-;1
"251390 Sao Bento";4;-;1;-;5
"251394 Sao Domingos do Cariri";-;1;-;-;1
"251398 Sao Francisco";-;-;1;-;1
"251400 Sao Joao do Cariri";-;1;-;-;1
"250070 Sao Joao do Rio do Peixe";-;-;1;-;1
"251410 Sao Joao do Tigre";4;-;1;-;5
"251430 Sao Jose de Caiana";2;-;1;-;3
"251440 Sao Jose de Espinharas";1;-;-;-;1
"251450 Sao Jose de Piranhas";1;-;-;-;1
"251460 Sao Jose do Bonfim";1;-;-;-;1
"251470 Sao Jose do Sabugi";2;-;-;-;2
"251490 Sao Mamede";1;-;1;-;2
"251500 Sao Miguel de Taipu";1;-;2;-;3
"251540 Sao Vicente do Serido";3;-;-;-;3
"251530 Sape";4;1;5;-;10
"251550 Serra Branca";1;-;-;-;1
"251570 Serra Grande";1;-;1;-;2
"251597 Sobrado";1;-;1;-;2
"251600 Solanea";4;-;-;-;4
"251610 Soledade";1;2;1;-;4
"251620 Sousa";16;3;2;-;21
"251630 Sume";3;1;1;-;5
"251650 Taperoa";3;-;2;-;5
"251660 Tavares";1;-;2;-;3
"251670 Teixeira";3;-;2;-;5
"251690 Uirauna";1;-;2;-;3
"251720 Vieiropolis";1;-;-;-;1
"250000 Municipio ignorado - PB";1;-;-;-;1
"Total";454;151;218;1;824
