 Nascidos vivos - Paraíba
Nascim p/resid.mãe por Município
Período:2012
"Município";"Nascim_p/resid.mãe"
"250700 Itaporanga";296
"250710 Itapororoca";259
"250720 Itatuba";170
"250730 Jacaraú";211
"250740 Jericó";104
"250750 João Pessoa";11302
"251365 Joca Claudino";25
"250760 Juarez Távora";124
"250770 Juazeirinho";296
"250780 Junco do Seridó";102
"250790 Juripiranga";175
"250800 Juru";115
"250810 Lagoa";62
"250820 Lagoa de Dentro";137
"250830 Lagoa Seca";434
"250840 Lastro";43
"250850 Livramento";84
"250855 Logradouro";53
"250860 Lucena";184
"250870 Mãe d'Água";50
"250880 Malta";77
"250890 Mamanguape";732
"250900 Manaíra";166
"250905 Marcação";152
"250910 Mari";279
"250915 Marizópolis";88
"250920 Massaranduba";185
"250930 Mataraca";140
"250933 Matinhas";67
"250937 Mato Grosso";42
"250939 Maturéia";67
"250940 Mogeiro";201
"250950 Montadas";107
"250960 Monte Horebe";62
"250970 Monteiro";453
"250980 Mulungu";137
"250990 Natuba";100
"251000 Nazarezinho";109
"251010 Nova Floresta";159
"251020 Nova Olinda";90
"251030 Nova Palmeira";42
"251040 Olho d'Água";114
"251050 Olivedos";62
"251060 Ouro Velho";41
"251065 Parari";26
"251070 Passagem";21
"251080 Patos";1535
"251090 Paulista";139
"251100 Pedra Branca";46
"251110 Pedra Lavrada";95
"251120 Pedras de Fogo";456
"251272 Pedro Régis";69
"251130 Piancó";182
"251140 Picuí";269
"251150 Pilar";203
"251160 Pilões";138
"251170 Pilõezinhos";80
"251180 Pirpirituba";162
"251190 Pitimbu";232
"251200 Pocinhos";247
"251203 Poço Dantas";49
"251207 Poço de José de Moura";44
"251210 Pombal";433
"251220 Prata";46
"251230 Princesa Isabel";337
"251240 Puxinanã";211
"251250 Queimadas";672
"251260 Quixabá";24
"251270 Remígio";285
"251274 Riachão";45
"251275 Riachão do Bacamarte";63
"251276 Riachão do Poço";56
"251278 Riacho de Santo Antônio";32
"251280 Riacho dos Cavalos";115
"251290 Rio Tinto";316
"251300 Salgadinho";47
"251310 Salgado de São Félix";134
"251315 Santa Cecília";106
"251320 Santa Cruz";74
"251330 Santa Helena";65
"251335 Santa Inês";43
"251340 Santa Luzia";168
"251370 Santa Rita";2257
"251380 Santa Teresinha";54
"251350 Santana de Mangueira";71
"251360 Santana dos Garrotes";103
"251385 Santo André";38
"251392 São Bentinho";65
"251390 São Bento";460
"251396 São Domingos";36
"251394 São Domingos do Cariri";35
"251398 São Francisco";47
"251400 São João do Cariri";54
"250070 São João do Rio do Peixe";181
"251410 São João do Tigre";69
"251420 São José da Lagoa Tapada";117
"251430 São José de Caiana";94
"251440 São José de Espinharas";48
"251450 São José de Piranhas";248
"251455 São José de Princesa";32
"251460 São José do Bonfim";43
"251465 São José do Brejo do Cruz";21
"251470 São José do Sabugi";55
"251480 São José dos Cordeiros";45
"251445 São José dos Ramos";75
"251490 São Mamede";97
"251500 São Miguel de Taipu";126
"251510 São Sebastião de Lagoa de Roça";143
"251520 São Sebastião do Umbuzeiro";37
"251540 São Vicente do Seridó";161
"251530 Sapé";718
"251550 Serra Branca";139
"251560 Serra da Raiz";39
"251570 Serra Grande";40
"251580 Serra Redonda";100
"251590 Serraria";81
"251593 Sertãozinho";78
"251597 Sobrado";111
"251600 Solânea";380
"251610 Soledade";209
"251615 Sossêgo";65
"251620 Sousa";1006
"251630 Sumé";244
"251640 Tacima";79
"251650 Taperoá";223
"251660 Tavares";168
"251670 Teixeira";244
"251675 Tenório";59
"251680 Triunfo";116
"251690 Uiraúna";182
"251700 Umbuzeiro";120
"251710 Várzea";36
"251720 Vieirópolis";46
"250550 Vista Serrana";51
"251740 Zabelê";45
"250000 Município ignorado - PB";6
"Total";56770
 Fonte: MS/SVS/DASIS - Sistema de Informações sobre Nascidos Vivos - SINASC
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
